1,Plaćanje robe/usluge unapred je:,Avans,Dodatna vrednost,Inflacija,Kamata,Bonitet
2,Podaci koji predstavljaju primenu određenih matematičkih relacija (npr prosečne ocene studenta) su:,Agregirani podaci,Modeli,Merdžer,Obrada podataka,Proučavanje rada
3,Preuzimanje/kupovina većinskih akcija ili celog preduzeća od strane drugog preduzeća je:,Akvizicija,Investicija,Kooperacija,Obveznica,Monopol
4,Postupak posredstvom koga nadležno telo zvanično priznaje da su telo ili osoba kompetentni za sprovođenje određenih poslova,Akreditacija,Sertifikacija,Vizija,Menadžment,Pregovaranje
5,Vlasnička hartija od vrednosti kojom kupac stiče vlasništvo nad delom kapitala akcionarskog društva i koja akcionarima daje pravo na deo dobiti (dividendu) preduzeća i druga prava je:,Akcija,Ortakluk,Resursi,Ugovor,Faktura
6,Vlasnik jedne ili više akcija u akcionarskom društvu:,Akcionar,Broker,Diler,Investitor,Preduzetnik
7,Društvo gde članovi formiraju svoj kapital u vidu akcija radi obavljanja određene delatnosti je:,Akcionarsko drustvo,Holding,Globalna strateska alijansa,Preduzeće,Osiguravajuće drustvo
8,Usko fokusirano sredstvo jasno definisane primene koje se može koristiti samostalno je:,Alat,Alati modeliranja,Alati za optimizaciju,Programski jezik,Antivirus program
9,Softverski programi koji pomazu analitičarima/korisnicima da projektuju i izrade adekvatne formalne modele su:,Alati modeliranja,Kompajleri,Modulatori,Operativni sistem,Racunarska mreza
10,"Propisani skup pravila ili instrukcija, koji se izvršavaju u precizno definisanom redosledu, za rešavanje nekog problema je:",Algoritam,Algoritam zakljucivanja,Proces,Softver,Misija
11,Adekvatno iskorišavanje podataka iz baze znanja radi predloga adekvatne poslovne odluke je:,Algoritam zakljucivanja,Analiticka obrada,Analiza poslovanja,Efikasnost,Informacioni sistem
12,Proces raspodele resursa ili troškova na organizacione celine/funkcije organizacije (celine) je:,Alokacija resursa,Distribucija,Dividenda,Nabavka,Likvidnost
13,Otpisivanje dela vrednosti osnovnih sredstava (smanjenje vrednosti) koje se deli na vremenski i funkcionalni sistem je:,Amortizacija,Investicija,Korektivna mera,Kredit,Porez
14,"Način za dobijanje potpune i što tačnije slike poslovanja koji obuhvata razmatranje problema i mogućnosti, uzročno posledičnih veza i identifikovanje mogućih resenja je:",Analiza poslovanja,Bencmarking,Brejnstorming,Deskriptivni model,Menadžment znanja
15,Proces upravljanja visedimenzionalnim podacima iz različitih izvora koji su najčešće iz različitih funkcija menadžmenta i zajedno postaju dobra osnova za odlučivanje je:,Analiticka obrada,Deterministički model,Obrada podataka,Pracenje i kontrola projekta,Revizija
16,"Redovna, godišnja ili polugodišnja isplata novca sastavljena od dela glavnice i dela kamate koju dužnik plaća kod postepene otplate dugoročnog kredita. Može biti fiksni i promenljivi kad se iznos menja, povećava ili smanjuje je:",Anuitet,Kredit,Kamatna stopa,Dividenda,Kapital
17,"Program za izvršavanje specijalizovanog zadatka za korisnike. Mogu biti za obradu teksta (Word), tabela (Excel), baza podataka (Access) je:",Aplikativni softver,Programski jezik,Operativni sistem,Asembler,Kompajler
18,"Odsustvovanje sa posla iz opravdanih ili neopravdanih razloga, dobrovoljno ili ne je:",Apsentizam,Kontrola,Korektivna mera,Motivacija,Optimizacija
19,Proces u kome se izdvajaju važni aspekti nekog fenomena a ignorišu se njegovi detalji je:,Apstrakcija,Znanje,Evaluacija,Procena,Koordinacija
20,Program za prevođenje naredbi asemblerskog jezika u naredbe mašinskog jezika kako bi se program izvršio na računaru je:,Asembler,Kompajler,Centralni procesor,Sistemski softver,Modulatori
21,"Grupa ljudi ili organizacija koje imaju zajednički interes i želju da budu udruženi formalno ili neformalno, visoko organizovano ili sa slobodnim, sporazumnim načinom funkcionisanja i uspostavljanja je:",Asocijacija,Organizacija,Preduzeće,Kompanija,Nevladina organizacija
22,"Pravo ličnosti, menadžera ili neke druge rukovodeće funkcije, da koristi dodeljenu moć za sprovođenje svojih uloga u organizaciji se naziva:",Autoritet,Moc,Lanac komande,Struktuirana odluka,Heuristika
23,"Skup činjenica, pravila i procedura kao relevantnih informacija vezanih za specifično polje interesa za koje je razvijen ekspertni sistem je:",Baza znanja,Baza modela,Znanje,Informacioni sistem,Ekspertni sistem
24,Osnova svakog poslovnog sistema za podršku odlučivanju koji sadrzi implementirane formalne modele koji opisuju realne procese za određenu oblast je:,Baza modela,Baza znanja,Model,Modem,Organizacioni sistem
25,Najmanja grupa bitova koja se može adresirati na računaru koja sadrži 8 bitova zove se:,Bajt,Kilobajt,Megabajt,Gigabajt,Terabajt
26,"Finansijska institucija koja prikuplja depozite, odobrava kredite i posreduje u plaćanju i postoji više vrsta (centralna, univerzalna, komercijalna, investiciona, hipotekarne itd..) zove se:",Banka,Osiguravajuće kompanije,Investiciona kuca,Brokerska kuca,Kreditne unije
27,"Merenje sopstvenog učinka poredenjem sa najboljima u toj oblasti, tj. potraga za najboljom praksom koja vodi do superiornog učinka zove se:",Bencmarking,Menadžment znanja,Ekspertni sistem,Optimizacija,Proučavanje rada
28,"Regulisano i organizovano trziste na kome se trguje standardizovanim finansijskim instrumentima i robom (akcijama, obveznicama, derivatima itd.) zove se:",Berza,Brokerska kuca,Aukcijska kuca,Trziste,Menjačnica
29,Formalni planski dokument koji se fokusira na buduci poslovni poduhvat i razraduje sve elemente neophodne za sprovođenje zove se:,Biznis plan,Projekat,Vizija,Misija,Predstava
30,Jedan od osnovnih metoda i instrumenata kompleksne analize poslovanja preduzeća. U njemu se daje detaljan i jasan prikaz imovinske i poslovne situacije preduzeća iz dve perspektive (aktive i pasive preduzeća i prihoda i rashoda) i zove se:,Bilans,Bilans stanja,Dobitak,Kapital,Knjigovodstvo
31,Jedan od tri osnovna finansijska izveštaja preduzeća zajedno sa bilansom uspeha i bilansom novčanog toka. Ima veličinu i strukturu sredstava (aktiva) kojima preduzeće raspolaže i ima dve strane - levu (aktivu tj imovinu) i desnu (pasivu tj izvore sredstava) koje moraju biti jednake,Bilans stanja,Bilans,Investicija,Troškovi,Bilans
32,Poslovna situacija preduzeća tj svi prihodi i rashodi preduzeća u određenom vremenskom periodu i ostvareni finansijski rezultat,Bilans uspeha,Bilans stanja,Bilans,Finansije,Obrtna sredstva
33,Numerički sistem koji reprezentuje brojne vrednosti u 0 i 1,Binarni brojni sistem,Decimalni brojni sistem,Arapski brojni sistem,Rimski brojni sistem,Heksadecimalni brojni sistem
34,Organizacija sa jasno def. hijerarhijskom strukturom koja primenjuje autoritativni stil menadžmenta i visoko specijalizovane uloge njenih članova sa velikim naglaskom na pravila i procedure,Birokratija,Demokratija,Autokratija,Plutokratija,Demografija
35,Binarna cifra koja može imati 0 i 1,Bit,Binarni broj,Heksadecimalni broj,Dekadni broj,Megabajt
36,Web strana vezana za neku temu koja se sastoji od kratkih poruka uređene hronološki,Blog,Website,Page,Vlog,Wiki
37,Kvalifikacija pojedinca ili preduzeća u pogledu sposobnosti da pozajmljuje i redovno izmiruju svoje obaveze,Bonitet,Solventnost,Budžet,Menica,Finansiranje
38,Metoda grupnog odlučivanja koja se sastoji iz 6 koraka,Brejnstorming,Benčmarking,Evaluacija,Budžet,Deviza
39,Posrednik između kupaca i prodavca u trgovini hartijama od vrednosti na finansijskom tržištu,Broker,Diler,Klijent,Lider,Investitor
